NR_SEQUENCIA;DS_PROC_EXAME;CD_PROCEDIMENTO;CD_PROCEDIMENTO_TUSS;IE_ORIGEM_PROCED;DS_PROC_EXAME_LOC;IE_ORIGEM_PROC_TUSS;DS_PROCEDIMENTO_TUSS;DS_TIPO_UTIL;DS_ORIGEM_PROCED
28;Terapia Oncológica - Planejamento e 1º Dia de Tratamento;20104294;20104294;5;TERAPIA ONCOLOGICA - PLANEJAMENTO E 1º DIA DE TRATAMENTO;8;Terapia Oncológica 1º Dia de Tratamento;Outros;CBHPM
29;Terapia Oncológica por dia Subsequente de Tratamento;20104308;20104308;5;TERAPIA ONCOLOGICA POR DIA SUBSEQUENTE DE TRATAMENTO;8;Terapia Oncológica por dia Subsequente de Tratamento;Outros;CBHPM
245;Imobilizações Não-Gessadas (Qualquer Segmento);30711010;;5;Imobilizações Não-Gessadas (Qualquer Segmento);8; ;Cirurgicos;CBHPM
246;Membro Inferior;30711029;;5;Membro Inferior;8; ;Cirurgicos;CBHPM
247;Membro Superior;30711037;;5;Membro Superior;8; ;Cirurgicos;CBHPM
248;Áxilo-Palmar Ou Pendente;30712017;;5;Áxilo-Palmar Ou Pendente;8; ;Cirurgicos;CBHPM
249;Bota Com Ou Sem Salto;30712025;;5;Bota Com Ou Sem Salto;8; ;Cirurgicos;CBHPM
250;Colar;30712033;;5;Colar;8; ;Cirurgicos;CBHPM
251;Colete;30712041;;5;Colete;8; ;Cirurgicos;CBHPM
252;Cruro-Podálico;30712050;;5;Cruro-Podálico;8; ;Cirurgicos;CBHPM
253;Dupla Abdução Ou Ducroquet;30712068;;5;Dupla Abdução Ou Ducroquet;8; ;Cirurgicos;CBHPM
254;Halo-Gesso;30712076;;5;Halo-Gesso;8; ;Cirurgicos;CBHPM
255;Inguino-Maleolar;30712084;;5;Inguino-Maleolar;8; ;Cirurgicos;CBHPM
256;Luva;30712092;;5;Luva;8; ;Cirurgicos;CBHPM
257;Minerva Ou Risser Para Escoliose;30712106;;5;Minerva Ou Risser Para Escoliose;8; ;Cirurgicos;CBHPM
258;Pelvipodálico;30712114;;5;Pelvipodálico;8; ;Cirurgicos;CBHPM
259;Spica-Gessada;30712122;;5;Spica-Gessada;8; ;Cirurgicos;CBHPM
260;Tipo Velpeau;30712130;;5;Tipo Velpeau;8; ;Cirurgicos;CBHPM
261;Tóraco-Braquial;30712149;;5;Tóraco-Braquial;8; ;Cirurgicos;CBHPM
262;Biópsia Óssea;30713021;;5;Biópsia Óssea;8; ;Cirurgicos;CBHPM
263;Biópsias Percutânea Sinovial Ou De Tecidos Moles;30713030;;5;Biópsias Percutânea Sinovial Ou De Tecidos Moles;8; ;Cirurgicos;CBHPM
264;Enxertos Em Outras Pseudartroses;30713048;;5;Enxertos Em Outras Pseudartroses;8; ;Cirurgicos;CBHPM
265;Manipulação Articular Sob Anestesia Geral;30713064;;5;Manipulação Articular Sob Anestesia Geral;8; ;Cirurgicos;CBHPM
266;Punção Articular Diagnóstica Ou Terapêutica (Infiltração). Quando Orientada Por Rx, Us, Tc E Rm, Cob;30713137;;5;Punção Articular Diagnóstica Ou Terapêutica (Infiltração). Quando Orientada Por Rx, Us, Tc E Rm, Cob;8; ;Cirurgicos;CBHPM
267;Punção Extra-Articular Diagnóstica Ou Terapêutica (Infiltração/Agulhamento Seco). Quando Orientada P;30713145;;5;Punção Extra-Articular Diagnóstica Ou Terapêutica (Infiltração/Agulhamento Seco). Quando Orientada P;8; ;Cirurgicos;CBHPM
268;Retirada De Enxerto Ósseo;30713072;;5;Retirada De Enxerto Ósseo;8; ;Cirurgicos;CBHPM
269;Corpo Estranho Intra-Articular - Tratamento Cirúrgico;30714010;;5;Corpo Estranho Intra-Articular - Tratamento Cirúrgico;8; ;Cirurgicos;CBHPM
270;Corpo Estranho Intramuscular - Tratamento Cirúrgico;30714036;;5;Corpo Estranho Intramuscular - Tratamento Cirúrgico;8; ;Cirurgicos;CBHPM
271;Corpo Estranho Intra-Ósseo - Tratamento Cirúrgico;30714028;;5;Corpo Estranho Intra-Ósseo - Tratamento Cirúrgico;8; ;Cirurgicos;CBHPM
272;Artrodese Da Coluna C/ Instrumentação Por Segmento;30715016;;5;Artrodese Da Coluna C/ Instrumentação Por Segmento;8; ;Cirurgicos;CBHPM
273;Artrodese De Coluna Via Anterior Ou Póstero Lateral - Tratamento Cirúrgico;30715024;;5;Artrodese De Coluna Via Anterior Ou Póstero Lateral - Tratamento Cirúrgico;8; ;Cirurgicos;CBHPM
274;Biópsia Da Coluna;30715032;;5;Biópsia Da Coluna;8; ;Cirurgicos;CBHPM
275;Biópsia De Corpo Vertebral Com Agulha;30715040;;5;Biópsia De Corpo Vertebral Com Agulha;8; ;Cirurgicos;CBHPM
276;Cirurgia De Coluna Por Via Endoscópica;30715059;;5;Cirurgia De Coluna Por Via Endoscópica;8; ;Cirurgicos;CBHPM
277;Cordotomia - Mielotomia;30715067;;5;Cordotomia - Mielotomia;8; ;Cirurgicos;CBHPM
278;Costela Cervical - Tratamento Cirúrgico;30715075;;5;Costela Cervical - Tratamento Cirúrgico;8; ;Cirurgicos;CBHPM
279;Derivação Lombar Externa;30715083;;5;Derivação Lombar Externa;8; ;Cirurgicos;CBHPM
162;Pterígio - Exérese;30303060;;5;Pterígio - Exérese;8; ;Cirurgicos;CBHPM
134;Esfoliação Química Superficial (Por Sessão);30101417;;5;Esfoliação Química Superficial (Por Sessão);8; ;Cirurgicos;CBHPM
135;Exérese De Higroma Cístico;30101425;;5;Exérese De Higroma Cístico;8; ;Cirurgicos;CBHPM
136;Exérese De Higroma Cístico No Rn E Lactente;30101433;;5;Exérese De Higroma Cístico No Rn E Lactente;8; ;Cirurgicos;CBHPM
137;Exérese De Lesão / Tumor De Pele E Mucosas;30101468;;5;Exérese De Lesão / Tumor De Pele E Mucosas;8; ;Cirurgicos;CBHPM
138;Exérese De Lesão Com Auto-Enxertia;30101441;;5;Exérese De Lesão Com Auto-Enxertia;8; ;Cirurgicos;CBHPM
139;Exérese De Tumor E Rotação De Retalho Músculo-Cutâneo;30101476;;5;Exérese De Tumor E Rotação De Retalho Músculo-Cutâneo;8; ;Cirurgicos;CBHPM
140;Exérese De Unha;30101484;;5;Exérese De Unha;8; ;Cirurgicos;CBHPM
141;Exérese E Sutura De Hemangioma, Linfangioma Ou Nevus (Por Grupo De Até 5 Lesões);30101921;;5;Exérese E Sutura De Hemangioma, Linfangioma Ou Nevus (Por Grupo De Até 5 Lesões);8; ;Cirurgicos;CBHPM
